Date,Close,High,Low,Open,market_era,halving_cycle,Volume_mln
2014-09-17,457.3,468.2,452.4,465.9,Pre_Institutional,1,21.1
2014-09-18,424.4,456.9,413.1,456.9,Pre_Institutional,1,34.5
2014-09-19,394.8,427.8,384.5,424.1,Pre_Institutional,1,37.9
2014-09-20,408.9,423.3,389.9,394.7,Pre_Institutional,1,36.9
2014-09-21,398.8,412.4,393.2,408.1,Pre_Institutional,1,26.6
2014-09-22,402.2,406.9,397.1,399.1,Pre_Institutional,1,24.1
2014-09-23,435.8,441.6,396.2,402.1,Pre_Institutional,1,45.1
2014-09-24,423.2,436.1,421.1,435.8,Pre_Institutional,1,30.6
2014-09-25,411.6,423.5,409.5,423.2,Pre_Institutional,1,26.8
2014-09-26,404.4,414.9,400.0,411.4,Pre_Institutional,1,21.5
2014-09-27,399.5,406.6,397.4,403.6,Pre_Institutional,1,15.0
2014-09-28,377.2,401.0,374.3,399.5,Pre_Institutional,1,23.6
2014-09-29,375.5,385.2,372.2,376.9,Pre_Institutional,1,32.5
2014-09-30,386.9,391.0,373.4,376.1,Pre_Institutional,1,34.7
2014-10-01,383.6,391.4,380.8,387.4,Pre_Institutional,1,26.2
2014-10-02,375.1,385.5,372.9,384.0,Pre_Institutional,1,21.8
2014-10-03,359.5,377.7,357.9,375.2,Pre_Institutional,1,30.9
2014-10-04,328.9,364.5,325.9,359.9,Pre_Institutional,1,47.2
2014-10-05,320.5,341.8,289.3,328.9,Pre_Institutional,1,83.3
2014-10-06,330.1,345.1,302.6,320.4,Pre_Institutional,1,79.0
2014-10-07,336.2,339.2,320.5,330.6,Pre_Institutional,1,49.2
2014-10-08,352.9,354.4,327.2,336.1,Pre_Institutional,1,54.7
2014-10-09,365.0,382.7,347.7,352.7,Pre_Institutional,1,83.6
2014-10-10,361.6,375.1,353.0,364.7,Pre_Institutional,1,43.7
2014-10-11,362.3,367.2,356.0,361.4,Pre_Institutional,1,13.3
2014-10-12,378.5,379.4,356.1,362.6,Pre_Institutional,1,17.6
2014-10-13,390.4,397.2,368.9,377.9,Pre_Institutional,1,35.2
2014-10-14,400.9,411.7,391.3,391.7,Pre_Institutional,1,38.5
2014-10-15,394.8,402.2,388.8,401.0,Pre_Institutional,1,25.3
2014-10-16,382.6,398.8,373.1,394.5,Pre_Institutional,1,27.0
2014-10-17,383.8,385.5,375.4,382.8,Pre_Institutional,1,13.6
2014-10-18,391.4,395.2,379.0,384.0,Pre_Institutional,1,11.4
2014-10-19,389.5,393.9,386.5,391.3,Pre_Institutional,1,5.9
2014-10-20,382.8,390.1,378.3,389.2,Pre_Institutional,1,16.4
2014-10-21,386.5,392.6,380.8,382.4,Pre_Institutional,1,14.2
2014-10-22,383.2,388.6,382.2,386.1,Pre_Institutional,1,11.6
2014-10-23,358.4,385.0,356.4,383.0,Pre_Institutional,1,26.5
2014-10-24,358.3,364.3,353.3,358.6,Pre_Institutional,1,15.6
2014-10-25,347.3,359.9,342.9,358.6,Pre_Institutional,1,18.1
2014-10-26,354.7,359.2,343.9,347.5,Pre_Institutional,1,11.3
2014-10-27,353.0,358.6,349.8,354.8,Pre_Institutional,1,13.0
2014-10-28,357.6,360.0,352.7,353.2,Pre_Institutional,1,7.8
2014-10-29,335.6,357.8,335.3,357.1,Pre_Institutional,1,18.2
2014-10-30,345.3,350.9,335.1,335.7,Pre_Institutional,1,30.2
2014-10-31,338.3,348.0,337.1,345.0,Pre_Institutional,1,12.5
2014-11-01,325.7,340.5,321.1,338.6,Pre_Institutional,1,16.7
2014-11-02,325.9,329.0,320.6,326.1,Pre_Institutional,1,8.6
2014-11-03,327.6,334.0,325.5,325.6,Pre_Institutional,1,12.9
2014-11-04,330.5,331.8,325.1,327.2,Pre_Institutional,1,15.7
2014-11-05,339.5,343.4,330.7,330.7,Pre_Institutional,1,19.8
2014-11-06,349.3,353.0,338.4,339.5,Pre_Institutional,1,18.8
2014-11-07,342.4,352.7,341.8,349.8,Pre_Institutional,1,16.8
2014-11-08,345.5,347.0,342.2,342.2,Pre_Institutional,1,8.5
2014-11-09,363.3,363.6,344.3,345.4,Pre_Institutional,1,24.2
2014-11-10,366.9,374.8,357.6,362.3,Pre_Institutional,1,30.5
2014-11-11,367.7,371.3,363.7,365.9,Pre_Institutional,1,15.8
2014-11-12,423.6,429.7,368.0,368.0,Pre_Institutional,1,45.8
2014-11-13,420.7,457.1,401.1,427.3,Pre_Institutional,1,58.9
2014-11-14,397.8,419.3,384.8,418.4,Pre_Institutional,1,29.6
2014-11-15,376.1,405.5,371.0,399.6,Pre_Institutional,1,15.7
2014-11-16,387.9,390.8,374.6,374.7,Pre_Institutional,1,11.9
2014-11-17,387.4,410.2,377.5,388.3,Pre_Institutional,1,41.5
2014-11-18,375.2,392.4,371.1,387.8,Pre_Institutional,1,32.2
2014-11-19,380.6,386.5,373.9,373.9,Pre_Institutional,1,18.9
2014-11-20,357.8,382.0,356.8,380.3,Pre_Institutional,1,25.2
2014-11-21,350.8,357.9,344.1,357.9,Pre_Institutional,1,29.9
2014-11-22,352.9,364.8,350.9,351.6,Pre_Institutional,1,15.3
2014-11-23,367.6,370.8,353.2,353.2,Pre_Institutional,1,15.2
2014-11-24,376.9,387.2,366.7,366.9,Pre_Institutional,1,30.9
2014-11-25,375.3,394.7,374.8,376.9,Pre_Institutional,1,25.4
2014-11-26,368.4,377.7,365.8,376.0,Pre_Institutional,1,18.6
2014-11-27,369.7,374.0,368.3,370.5,Pre_Institutional,1,8.7
2014-11-28,376.4,382.8,358.5,369.4,Pre_Institutional,1,22.9
2014-11-29,375.5,387.6,372.1,376.2,Pre_Institutional,1,15.4
2014-11-30,378.0,382.5,373.3,375.5,Pre_Institutional,1,9.2
2014-12-01,379.2,383.7,376.7,378.2,Pre_Institutional,1,11.8
2014-12-02,381.3,384.0,377.9,379.2,Pre_Institutional,1,12.4
2014-12-03,375.0,383.0,374.3,381.7,Pre_Institutional,1,13.3
2014-12-04,369.6,378.7,367.8,375.7,Pre_Institutional,1,14.5
2014-12-05,376.9,379.2,365.8,369.4,Pre_Institutional,1,15.2
2014-12-06,374.8,378.4,370.9,376.8,Pre_Institutional,1,7.0
2014-12-07,375.1,376.3,373.3,374.8,Pre_Institutional,1,6.5
2014-12-08,361.9,376.0,361.9,375.0,Pre_Institutional,1,18.9
