Date,ETF_Total_Net_Flow_mln_usd,ETF_Cumulative_Flow_mln_usd
2024-01-11,655.3,655.3
2024-01-12,203.0,858.3
2024-01-15,0.0,858.3
2024-01-16,-52.7,805.6
2024-01-17,453.8,1259.4
2024-01-18,-126.6,1132.8
2024-01-19,43.6,1176.4
2024-01-22,-87.4,1089.0
2024-01-23,-106.1,982.9
2024-01-24,-158.3,824.6
2024-01-25,-79.8,744.8
2024-01-26,14.8,759.6
2024-01-29,255.1,1014.7
2024-01-30,247.3,1262.0
2024-01-31,197.6,1459.6
2024-02-01,38.5,1498.1
2024-02-02,80.0,1578.1
2024-02-05,68.1,1646.2
2024-02-06,33.6,1679.8
2024-02-07,146.0,1825.8
2024-02-08,405.0,2230.8
2024-02-09,541.5,2772.3
2024-02-12,493.4,3265.7
2024-02-13,636.3,3902.0
2024-02-14,339.7,4241.7
2024-02-15,477.4,4719.1
2024-02-16,330.3,5049.4
2024-02-19,0.0,5049.4
2024-02-20,135.6,5185.0
2024-02-21,-35.6,5149.4
2024-02-22,251.4,5400.8
2024-02-23,232.5,5633.3
2024-02-26,519.9,6153.2
2024-02-27,576.9,6730.1
2024-02-28,673.4,7403.5
2024-02-29,92.3,7495.8
2024-03-01,-139.6,7356.2
2024-03-04,562.7,7918.9
2024-03-05,648.3,8567.2
2024-03-06,332.0,8899.2
2024-03-07,472.5,9371.7
2024-03-08,223.0,9594.7
2024-03-11,505.4,10100.1
2024-03-12,1045.0,11145.1
2024-03-13,683.7,11828.8
2024-03-14,132.7,11961.5
2024-03-15,198.8,12160.3
2024-03-18,-154.3,12006.0
2024-03-19,-326.2,11679.8
2024-03-20,-261.5,11418.3
2024-03-21,-94.0,11324.3
2024-03-22,-51.6,11272.7
2024-03-25,15.4,11288.1
2024-03-26,418.0,11706.1
2024-03-27,243.5,11949.6
2024-03-28,182.8,12132.4
2024-03-29,0.0,12132.4
2024-04-01,-85.7,12046.7
2024-04-02,39.5,12086.2
2024-04-03,113.5,12199.7
2024-04-04,213.4,12413.1
2024-04-05,203.0,12616.1
2024-04-08,-223.8,12392.3
2024-04-09,-19.4,12372.9
2024-04-10,123.7,12496.6
2024-04-11,91.3,12587.9
2024-04-12,-55.1,12532.8
2024-04-15,-36.7,12496.1
2024-04-16,-58.0,12438.1
2024-04-17,-165.0,12273.1
2024-04-18,-4.3,12268.8
2024-04-19,59.7,12328.5
2024-04-22,62.2,12390.7
2024-04-23,31.6,12422.3
2024-04-24,-120.6,12301.7
2024-04-25,-217.6,12084.1
2024-04-26,-83.6,12000.5
2024-04-29,-51.6,11948.9
2024-04-30,-161.6,11787.3
2024-05-01,-563.7,11223.6
2024-05-02,-34.4,11189.2
2024-05-03,378.3,11567.5
2024-05-06,217.0,11784.5
2024-05-07,-15.7,11768.8
2024-05-08,11.5,11780.3
2024-05-09,-11.3,11769.0
2024-05-10,-84.7,11684.3
2024-05-13,66.0,11750.3
2024-05-14,100.5,11850.8
2024-05-15,303.0,12153.8
2024-05-16,257.3,12411.1
2024-05-17,221.5,12632.6
2024-05-20,237.2,12869.8
2024-05-21,305.7,13175.5
2024-05-22,154.0,13329.5
2024-05-23,107.9,13437.4
2024-05-24,251.9,13689.3
2024-05-27,0.0,13689.3
2024-05-28,45.0,13734.3
2024-05-29,28.3,13762.6
2024-05-30,48.8,13811.4
2024-05-31,48.8,13860.2
2024-06-03,105.1,13965.3
2024-06-04,886.6,14851.9
2024-06-05,488.1,15340.0
2024-06-06,217.7,15557.7
