Date,F_Close,F_High,F_Low,F_Open,F_Volume_Contracts,F_Volume_USD_Mln
2017-12-18,19100.0,20650.0,18345.0,20650.0,1054,100.7
2017-12-19,18200.0,19725.0,17180.0,19135.0,559,50.9
2017-12-20,17040.0,18350.0,16435.0,17745.0,784,66.8
2017-12-21,15330.0,17270.0,15080.0,16400.0,879,67.4
2017-12-22,14135.0,15825.0,12265.0,15595.0,2374,167.8
2017-12-26,15785.0,16100.0,13700.0,13900.0,406,32.0
2017-12-27,14690.0,16545.0,14460.0,15655.0,507,37.2
2017-12-28,13745.0,15280.0,13360.0,15150.0,746,51.3
2017-12-29,14470.0,15005.0,13835.0,13965.0,1078,78.0
2018-01-02,14855.0,15245.0,13080.0,13955.0,734,54.5
2018-01-03,14975.0,15450.0,14650.0,14900.0,719,53.8
2018-01-04,14900.0,15470.0,14205.0,14925.0,760,56.6
2018-01-05,16590.0,16845.0,14870.0,15085.0,814,67.5
2018-01-08,14905.0,16455.0,13870.0,16425.0,958,71.4
2018-01-09,14750.0,15365.0,14185.0,14675.0,863,63.6
2018-01-10,14450.0,14720.0,13480.0,14405.0,887,64.1
2018-01-11,13385.0,14910.0,12820.0,14500.0,1298,86.9
2018-01-12,13945.0,14080.0,12850.0,13000.0,787,54.9
2018-01-16,11160.0,14280.0,11160.0,13600.0,2552,142.4
2018-01-17,10945.0,11800.0,9225.0,11190.0,2657,145.4
2018-01-18,11815.0,12075.0,10645.0,11125.0,1708,100.9
2018-01-19,11360.0,12030.0,10990.0,11335.0,979,55.6
2018-01-22,10355.0,11830.0,9955.0,11300.0,1137,58.9
2018-01-23,11095.0,11350.0,9865.0,10625.0,1241,68.8
2018-01-24,11115.0,11455.0,10435.0,10790.0,838,46.6
2018-01-25,11245.0,11710.0,10830.0,11090.0,769,43.2
2018-01-26,10925.4,11570.0,10925.4,11355.0,573,31.3
2018-01-29,11170.0,11775.0,10970.0,11510.0,463,25.9
2018-01-30,9940.0,11245.0,9720.0,11120.0,1137,56.5
2018-01-31,10000.0,10275.0,9500.0,10000.0,842,42.1
2018-02-01,9090.0,10175.0,8480.0,10020.0,1485,67.5
2018-02-02,8585.0,9075.0,7750.0,8890.0,2535,108.8
2018-02-05,7260.0,8315.0,6870.0,8305.0,2186,79.4
2018-02-06,7550.0,7920.0,5970.0,6850.0,2234,84.3
2018-02-07,8245.0,8540.0,7235.0,7620.0,1379,56.8
2018-02-08,8325.0,8690.0,7645.0,7790.0,906,37.7
2018-02-09,8610.0,8770.0,7715.0,8165.0,764,32.9
2018-02-12,8860.0,8920.0,8075.0,8380.0,679,30.1
